text,hate_speech
This Tomke is anti -Hindu,1
"Mamata Banerjee was not allowed in the Jagannath Temple,Puri because the priest and the committee knew her intentions was bad,are bad and will be worst, ultimately she is a mulli",1
Mamta ji this Destroid Hindu Bengali,1
G @@ Nadu Gola will go again and Mumtaz will vote for 5 bucks.,1
An accent for every occasion ,0
abominal,0
KEEP THIS MAN OUT OF OFFICE,1
"His Indian mom hates her own heritage. She was raised Hindu until she converted Islam after she married her Indian Islamist, and that's who he did got the hatred from. Hindu New York,please wake up and do not vote for this biased SOB!",1
"Communist, antisemite",1
So he is saying his mom a hindu is a bastard?,0
Disgusting human being,1
Or do Modi ko vote,0
Karma returns ,0
Suffering Om Shanti,0
"That is, the drinkers have no pain and nonsense to the drinkers. Rain flood earthquake is a natural disaster",0
The_Hindu will urge the govt of india for a relief package..,0
Sad. Looks like they are being punished because Yogi used bulldozers to destroy homes.,0
only if they invested on basic infrastructure instead of terror funding,1
How many terrorists killed ??,0
"If the money which is used in terror funding had developed a basic infrastructure, then so many people would not have died",1
Means 350 terr@rists killed by Nature and gone to HELL,1
Excellent,0
This is the police of the form and the police of Haryana who has not yet been able to provide justice to a sister,1
The media also enjoys flowers,0
good job police,0
"Video me marte hue police station se bahar laye, to dil ko sukoon hole",0
In Mullo Ko to Sida Encounter Karna Chahiye Tha Behan Chodo Ko,1
"Whether a Muslim is a Hindu, no one can kill anyone, Jai Ho Ho Maharaj",0
Had to encounter,0
"Look at the condition of both goats, both of them got into the hands of fat",1
Now now Mullo is also providing justice to Yogi Baba .. Jai Ho Yogi Baba,1
Had to shoot was not fun in the leg,1
Now the insect that was cutting in the gan ..... Arbaaz Sehbaaz's Bo will take out the police and in the court,1
I do not know when these gestures will improve when they will improve,1
Katua is a terrorist,1
"Brother that is temple, it was temple and will remain temple. Radhe Krishna",0
Hail Lord Ram,0
Long live Modi and Yogi,0
Establish Hindu nation,1
Jai Hindu Sanatan religion,0
"Oh Allah, destroy them like they are destroying the mosque",1
Jai Sanatan's army,0
Most of the temples were destroyed and mosques and tombs were built on them during the reign of Aurangzeb...,0
